Component	initialized classification	Node 0	Node 1	Node 2	Node 4	Node 5	Node 8	Node 9	Node 10	Node 12
ICA_000	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_001	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_002	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_003	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_004	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_005	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_006	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_007	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_008	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_009	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_010	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_011	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_012	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_013	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_014	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_015	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_016	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_017	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_018	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_019	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_020	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	accepted
ICA_021	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_022	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_023	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_024	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_025	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_026	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	accepted
ICA_027	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_028	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_029	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_030	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_031	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	accepted	accepted	accepted
ICA_032	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_033	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_034	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_035	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_036	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_037	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_038	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_039	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_040	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_041	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_042	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_043	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	accepted
ICA_044	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_045	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_046	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_047	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_048	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	accepted	accepted	accepted
ICA_049	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	accepted	accepted	accepted
ICA_050	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_051	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_052	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_053	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_054	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_055	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_056	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_057	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_058	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_059	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_060	unclassified	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_061	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_062	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_063	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_064	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_065	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_066	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_067	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_068	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_069	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_070	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_071	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_072	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_073	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_074	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_075	unclassified	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_076	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_077	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_078	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_079	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_080	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_081	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_082	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_083	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_084	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_085	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_086	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	accepted	accepted	accepted
ICA_087	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_088	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_089	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_090	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_091	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	accepted
ICA_092	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_093	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_094	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_095	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_096	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_097	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
