"metric","mean_LSD","mean_PLCB","diff","p_value","p_wilcox","d_z","d_av","shapiro_p","method","p_FDR","significant"
"density",0.135211723142758,0.128658506244713,0.00655321689804433,0.0192934007799396,0.0248678593178852,0.682402786852485,0.60924765653383,0.855162598661682,"parallel (t + Wilcoxon)",0.0836047367130717,FALSE
"clustering",0.536641367448465,0.564163694270944,-0.027522326822479,0.0168005940924775,0.0248678593178852,-0.700667020815998,-0.917527229358168,0.578392966427894,"parallel (t + Wilcoxon)",0.0836047367130717,FALSE
"small_worldness",1.92150406428932,2.24333577338902,-0.321831709099693,0.0164393677483326,0.0184211824858212,-0.703529778952817,-1.04189685922426,0.679663435479463,"parallel (t + Wilcoxon)",0.0836047367130717,FALSE
"char_path_length",3.59453181144034,3.4774766998562,0.117055111584136,0.0349390673807089,0.0331834311510942,0.602927950035914,0.581085955618455,0.388666219067734,"parallel (t + Wilcoxon)",0.113551968987304,FALSE
"global_efficiency",0.314101580019256,0.326362812082263,-0.0122612320630063,0.0607728810997492,0.064910217801352,-0.526517506889763,-0.564679232216839,0.221181776246457,"parallel (t + Wilcoxon)",0.120538318762689,FALSE
"assortativity",0.400799864076697,0.468400061860329,-0.0676001977836318,0.1698204073852,0.181971177723054,-0.373703039593639,-0.542919296952897,0.715822523768128,"parallel (t + Wilcoxon)",0.22076652960076,FALSE
"mean_strength",51.9020066000676,53.5683970513662,-1.66639045129858,0.262852127473965,0.222041366726258,-0.301220138957871,-0.311195911361093,0.0990980495014251,"parallel (t + Wilcoxon)",0.310643423378323,FALSE
"modularity",0.417641033684135,0.428910063179382,-0.0112690294952471,0.56990076095803,0.629260787503937,-0.150240236312424,-0.187153672853823,0.113235706163954,"parallel (t + Wilcoxon)",0.617392491037866,FALSE
